Name,Specialty,Symptoms,Usual onset,Duration,Causes,Risk factors,Diagnostic method,Prevention,Treatment,Prognosis,Frequency,Medication,ImageURL
Hemolytic uremic syndrome ( HUS ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/81/Schizocyte_smear_2009-12-22.JPG
Hemophilia,Haematology,Easy and prolonged bleeding,At birth,,Usually genetic,,Blood test,Preimplantation screening,Replace missing blood clotting factors,,"1 in 7,500 males (haemophilia A), 1 in 40,000 males (haemophilia B)",,https://upload.wikimedia.org/wikipedia/commons/8/89/A_woman_suffering_from_Hemophilia.png
Hepatitis A,"Infectious disease, gastroenterology","Nausea, vomiting, diarrhea, dark urine, jaundice, fever, abdominal pain",2â€“6 weeks after infection,8 weeks,Eating food or drinking water contaminated with Hepatovirus A infected feces,,Blood tests,"Hepatitis A vaccine, hand washing, properly cooking food","Supportive care, liver transplantation",,114 million symptomatic and nonsymptomatic (2015),,https://upload.wikimedia.org/wikipedia/commons/a/a4/ABHD5CGI-58-the-Chanarin-Dorfman-Syndrome-Protein-Mobilises-Lipid-Stores-for-Hepatitis-C-Virus-ppat.1005568.s014.ogv
Hepatitis B,"Infectious disease, gastroenterology","None, yellowish skin, tiredness, dark urine, abdominal pain",Symptoms may take up to 6 months to appear,Short or long term,Hepatitis B virus spread by some body fluids,"Intravenous drug use, sexual intercourse, dialysis, living with an infected person",Blood tests,Hepatitis B vaccine,"Antiviral medication (tenofovir, interferon), liver transplantation",,>391 million (2017),,https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
Hepatitis C,"Gastroenterology, Infectious disease",Typically none,,Long term (80%),Hepatitis C virus usually spread by blood-to-blood contact,,Blood testing for antibodies or viral RNA,"Sterile needles, testing donated blood","Medications, liver transplant",,71 million (2017),"Antivirals (sofosbuvir, simeprevir, others)",https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg
"Hepatitis , autoimmune",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0c/Autoimmune_hepatitis_-_cropped_-_very_high_mag.jpg
Hepatocellular carcinoma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7b/HepatoCellular_Ca.JPG
Hepatopulmonary syndrome,Gastroenterology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Hereditary hemorrhagic telangiectasia,"Medical genetics, Gastroenterology","Nosebleeds, Gastrointestinal bleeding",,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/91/AVM_grossly.jpg
"Herpes , genital",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Wiki_letter_w_cropped.svg
Hiatal hernia,"Gastroenterology, general surgery","Taste of acid in the back of the mouth, heartburn, trouble swallowing",,,,"Obesity, older age, major trauma","Endoscopy, medical imaging, manometry",,"Raising the head of the bed, weight loss, medications, surgery",,10â€“80% (US),"H2 blockers, proton pump inhibitors",https://upload.wikimedia.org/wikipedia/commons/3/3c/Hernia_de_hiato.ogv
Hiccups,Otorhinolaryngology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/87/Gnome-mime-sound-openclipart.svg
Hidradenitis suppurativa,Dermatology,Multiple inflamed and swollen skin lesions,Young adulthood,Long-term,Unknown,,Based on symptoms,,"Warm baths, laser therapy, surgery",,"1â€“4% of people, when mild cases are included","Antibiotics, immunosuppressive medication",https://upload.wikimedia.org/wikipedia/commons/4/4d/HS_Hidradenitis_Suppurativa.jpg
High blood pressure in children,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Blausen_0486_HighBloodPressure_01.png
Hip dysplasia,"Pediatrics, orthopedics","None, hip aches, one leg shorter, limping",,,,"Family history, swaddling, breech birth","Physical exam, ultrasound",,"Bracing, casting, surgery",Good (if detected early),"1 in 1,000 (term babies)",,https://upload.wikimedia.org/wikipedia/commons/f/f9/Congenitaldislocation10.JPG
Hip fracture,,"Pain around the hip particularly with movement, shortening of the leg",,,Trauma such as a fall,"Osteoporosis, taking many medications, alcohol use, metastatic cancer","X-ray, MRI, CT scan, bone scan","Improved lighting, removal of loose rugs, exercise, treatment of osteoporosis",Surgery,~20% one year risk of death (older people),~15% of women at some point,"Opioids, nerve block",https://upload.wikimedia.org/wikipedia/commons/9/9e/CT_of_subtle_compressive_hip_fracture.jpg
Hip impingement,Orthopedic,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/6f/Alpha_angle_measured_in_45_degrees_Dunn_view.jpg
Hip labral tear,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4d/3StageCreep.svg
Hirsutism,"Dermatology, endocrinology",,,,,,,,"Birth control pills, antiandrogens, insulin sensitizers",,,,https://upload.wikimedia.org/wikipedia/commons/9/93/Barbara_Vanbeck%2C_a_very_hairy_woman._Stipple_engraving_by_G._Wellcome_V0007287.jpg
Histoplasmosis,Infectious disease,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Chest_X-ray_acute_pulmonary_histoplasmosis_PHIL_3954.jpg
Hoarding disorder,"Psychiatry, clinical psychology",,ages 11â€“15,Chronic,"not clear, possibly genetic, and stressful life experiences",Traumatic events,ICD-10-CM Code F42.3,,Psychotherapy,progressive,2-5% of the UK population. Up to 6% (US),,https://upload.wikimedia.org/wikipedia/commons/2/20/Compulsive_hoarding_Apartment.jpg
Hot flashes,Gynecology,,,,,,,,,,,,
Human immunodeficiency virus,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/01/Fran%C3%A7oise_Barr%C3%A9-Sinoussi-press_conference_Dec_06th%2C_2008-1.jpg
Human papillomavirus infection,"Infectious disease, gynecology, oncology","None, warts",,,Human papillomavirus spread by direct contact,sexual contact,,"HPV vaccines, condoms",,,Most people are infected at some point in time,,https://upload.wikimedia.org/wikipedia/commons/e/e5/2r5k.jpg
Huntington 's disease,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e0/Autosomal_Dominant_Pedigree_Chart2.svg
Hydrocele,Urology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Ultrasonography_of_hydrocele.jpg
Hydrocephalus,Neurosurgery,"Babies: rapid head growth, vomiting, sleepiness, seizuresOlder people: Headaches, double vision, poor balance, urinary incontinence, personality changes, mental impairment",,,"Neural tube defects, meningitis, brain tumors, traumatic brain injury, brain bleed during birth, intraventricular hemorrhage",,Based on symptoms and medical imaging,,Surgery,"Variable, often normal life","1.5 per 90,000 (babies)",,https://upload.wikimedia.org/wikipedia/commons/2/29/3DPX-003132_Cast_of_Lateral_ventricles_in_Hydrocephaly_NevitDilmen.stl
Hydronephrosis,"Urology, nephrology",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cc/BilateralHydroMark.png
Hypercalcemia,Endocrinology,"Abdominal pain, bone pain, confusion, depression, weakness",,,"Primary hyperparathyroidism, cancer, sarcoidosis, tuberculosis, Paget disease, multiple endocrine neoplasia, vitamin D toxicity",,Blood serum level > 2.6Â mmol/l (corrected calcium or ionized calcium),,"Underlying cause, intravenous fluids, furosemide, calcitonin, pamidronate, hemodialysis",,"4 per 1,000",See article,https://upload.wikimedia.org/wikipedia/commons/6/6f/Ca-TableImage.svg
Hypercholesterolemia,Cardiology,,,,"Poor diet, junk food, fast food, diabetes, alcoholism, monoclonal gammopathy, dialysis therapy, nephrotic syndrome, hypothyroidism, Cushingâ€™s syndrome, anorexia nervosa",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Cholesterol.svg
"Hypercholesterolemia , familial",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Closed_Access_logo_transparent.svg
Hypercortisolism,Endocrinology,"High blood pressure, abdominal obesity with thin arms and legs, reddish stretch marks, round red face, fat lump between the shoulders, weak muscles, acne, fragile skin",20â€“50 years,,Prolonged exposure to cortisol,,Requires a number of steps,,Based on underlying cause,Generally good with treatment,2â€“3 per million people per year,,https://upload.wikimedia.org/wikipedia/commons/8/85/BabyCushing.png
Hypereosinophilic syndrome,Hematology,,,,,,,,,,,,
Hyperglycemia in diabetes,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/49/Aerobic_exercise.jpg
Hyperopia,"Ophthalmology, optometry","Near blur, Distance and near blur, Asthenopia",,,"Axial length of eyeball is too short, lens or cornea is flatter than normal, aphakia","Ageing, hereditary",Eye exam,,"Eyeglasses, contact lenses, refractive surgeries, IOL implantation",,~7.5% (US),,https://upload.wikimedia.org/wikipedia/commons/c/c5/1999_Choroid_folds.jpg
Hyperoxaluria and oxalosis,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/d/db/Oxalate-ion-2D-skeletal.png
Hyperparathyroidism,Endocrinology,"None, kidney stones, weakness, depression, bone pains, confusion, increased urination",50 to 60,,"Primary: parathyroid adenoma, multiple benign tumors, parathyroid cancerSecondary: vitamin D deficiency, chronic kidney disease, low blood calcium",,High blood calcium and high PTH levels,,"Monitoring, surgery, intravenous normal saline, cinacalcet",,"~2 per 1,000",,https://upload.wikimedia.org/wikipedia/commons/b/ba/Blausen_0533_Parathyroid_adenoma.png
Hypertension,Cardiology,None,,,Usually lifestyle and genetic factors,"Lack of sleep, Excess salt, excess body weight, smoking, alcohol Air Pollution",Resting blood pressureÂ 130/80 or 140/90Â mmHg,,"Lifestyle changes, medications",,16â€“37% globally,,https://upload.wikimedia.org/wikipedia/commons/d/d0/Blausen_0486_HighBloodPressure_01.png
Hypertrophic cardiomyopathy,Cardiology,"Feeling tired, leg swelling, shortness of breath, chest pain, fainting",,,"Genetics, Fabry disease, Friedreich's ataxia, certain medications",,"Electrocardiogram, echocardiogram, stress testing, genetic testing",,"Medications, implantable cardiac defibrillator, surgery",Less than 1% per year risk of death (with treatment),1 in 500 people,"Beta blockers, diuretics, disopyramide",https://upload.wikimedia.org/wikipedia/commons/4/43/DVA2555_%28CardioNetworks_ECGpedia%29.jpg
"Hypoglycemia , diabetic",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/5b/Glucose_test.JPG
Hypohidrosis,"Dermatology, neurology",,,,,,,,,"hyperthermia, heat stroke and death",,,
Hypohydration,Critical care medicine,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/ad/Cholera_rehydration_nurses.jpg
Hyponatremia,Nephrology,"Decreased ability to think, headaches, nausea, poor balance, confusion, seizures, coma",,,,,Serum sodium < 135 mmol/L,,Based on underlying cause,,Relatively common,,https://upload.wikimedia.org/wikipedia/commons/b/b1/CC-BY-icon-80x15.png
Hypoparathyroidism,Endocrinology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg
Hypoplastic left heart syndrome,Cardiology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/05/Fontan_procedure.svg
Hypospadias,"Urology, medical genetics",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/0/0b/Hypospadias-lg.jpg
Ice cream headaches,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/15/Girl_with_Ice_Cream_-_Southend-on-Sea_-_Essex_-_England_%2827713936233%29.jpg
Ichthyosis vulgaris,Medical genetics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/f/ff/2012_April_mosaic_lines_left_calf.jpg
Idiopathic hypersomnia,"Sleep medicine, Neurology, Psychiatry",,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/9/99/Question_book-new.svg
IgA nephropathy ( Berger 's disease ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9b/Berger%2C_Jean_CIPB1796.jpg
IgA vasculitis,,,,,,,,,,,,,
Illness anxiety disorder,"Psychiatry, psychology","Excessive and persistent fear of, or preoccupation with, having or developing a severe illness",Any time from early childhood,,,,,,Cognitive behavioral therapy (CBT),~50% meet criteria after ~1-5 yrs,~5%,"SSRI, antidepressants",https://upload.wikimedia.org/wikipedia/commons/7/72/American_Lady_Against_The_Sky.jpg
Impetigo,"Dermatology, Infectious disease","Yellowish skin crusts, painful",Young children,Less than 3 weeks,Staphylococcus aureus or Streptococcus pyogenes which spreads by direct contact,"Day care, crowding, poor nutrition, diabetes mellitus, contact sports, breaks in the skin",,"Hand washing, avoiding infected people, cleaning injuries",Based on symptoms,,140 million (2010),"Antibiotics (mupirocin, fusidic acid, cefalexin)",https://upload.wikimedia.org/wikipedia/commons/6/60/Bullous_impetigo1.jpg
Impotence,Urology,Inability to gain or maintain an erection,,,,"cardiovascular disease, diabetes",,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/63/%2BTestosteron_-_Suplimation_-_Gel_-_Inhalt_88_g.jpg
Incompetent cervix,Obstetrics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg
Incomplete fracture,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/71/Buckle_Fracture.jpg
"Incontinence , fecal",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/6/64/%28155%29_Stylized_depiction_of_action_of_puborectalis_sling.png
Infant jaundice,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/7/7c/Jaundice_in_newborn.jpg
Infant reflux,Gastroenterology,"Taste of acid, heartburn, bad breath, chest pain, breathing problems",,Long term,Inadequate closure of the lower esophageal sphincter,"Obesity, pregnancy, smoking, hiatal hernia, taking certain medicines","Gastroscopy, upper GI series, esophageal pH monitoring, esophageal manometry",,"Lifestyle changes, medications, surgery",,~15% (North American and European populations),"Antacids, H2 receptor blockers, proton pump inhibitors, prokinetics",https://upload.wikimedia.org/wikipedia/commons/f/f5/GERD.png
Infectious diseases,Infectious disease,,,,"bacterial, viral, parasitic, fungal, prion",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Chain_of_Infection.png
"Infertility , female",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/57/Age_and_female_fertility.png
Inflammatory bowel disease ( IBD ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/56/Associatedloci.png
Inflammatory breast cancer,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/en/b/b4/Ambox_important.svg
Inflammed gallbladder,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/bd/1lj7.jpg
Influenza ( flu ),,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/3b/3D_Influenza_virus.png
"Influenza , avian",,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/c6/A_chicken_being_tested_for_Bird_Flu.png
Ingrown hair,Dermatology,,,,,,,,,,,,
Ingrown toenails,Orthopedics,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a5/Ingrown_nail_002_cropped.jpg
Inguinal hernia,General surgery,"Pain, bulging in the groin","< 1 year old, > 50 years old",,,"Family history, smoking, chronic obstructive pulmonary disease, obesity, pregnancy, peritoneal dialysis, collagen vascular disease, connective tissue disease, previous open appendectomy","Based on symptoms, medical imaging",,"Conservative, surgery",,"27% (males), 3% (females)",,https://upload.wikimedia.org/wikipedia/commons/3/3b/Blausen_0560_InguinalHernia.png
Inherited metabolic disorders,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/32/EscherichiaColi_NIAID.jpg
Intestinal obstruction,General surgery,"Abdominal pain, vomiting, bloating, not passing gas",,,"Adhesions, hernias, volvulus, endometriosis, inflammatory bowel disease, appendicitis, tumors, diverticulitis, ischemic bowel, tuberculosis, intussusception",,Medical imaging,,"Conservative care, surgery",,3.2 million (2015),,https://upload.wikimedia.org/wikipedia/commons/2/22/Diameters_of_the_large_intestine.svg
Intracranial venous malformations,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/55/Duralvenoussinusthrombosis.png
Intraductal carcinoma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/80/Breast_DCIS_histopathology_%281%29.jpg
Intussusception,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/5/55/Full_thickness_rectal_prolapse_%26_mucosal_prolapse..jpg
Invasive lobular carcinoma,Oncology,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/e/e3/Breast_invasive_lobular_carcinoma_%282%29.jpg
